Mobile,iPhone 15 pro max 256,iphone,ip001,blue,30000000,2,New,IOS
Mobile,Samsung S9 Ultra,Samsung,ss001,black,25000000,3,New,Android
Mobile,XiaoMi M9,Xiaomi,xm001,white,14000000,3,New,Android
Mobile,iPhone 14 Pro,iPhone,ip002,red,18000000,4,New,IOS
Mobile,Huawei P90,Huawei,hw001,Blue,8000000,7,New,Android
Mobile,Samsung Galaxy Z Flip 6,Samsung,ss002,blue,27000000,10,New,Android
Mobile,Oppo A3x,Oppo,op001,white,3400000,10,New,Android
Mobile,Nokia 00Co,SamSung,05,,5000000,5,,Adroin
Charger,Apple iPhone charger,Apple,ch001,white,300000,13,New,Lightning,1m
Charger,Quick Charger Viper 3.0,Viper,ch002,Green,80000,55,New Seal,TypeC + MicroUsb,1.5m
MobileCase,Apple iPhone 15 promax case,Apple,mc001,white,2000000,3,New,iPhone 15 Pro Max
MobileCase,S9 Ultra Cs,No name,mc002,white,100000,8,New,S9 Ultra
